task_name,status,start_time,end_time,duration_sec,run_id
ingest_data,SUCCESS,2025-10-17 15:25:32,2025-10-17 15:25:34,2.000181,20251017_152538
validate_data,FAIL_WITH_WARNINGS,2025-10-17 15:25:34,2025-10-17 15:25:36,2.002751,20251017_152538
update_metadata,SUCCESS,2025-10-17 15:25:36,2025-10-17 15:25:38,2.003868,20251017_152538
ingest_data,SUCCESS,2025-10-17 15:35:46,2025-10-17 15:35:48,2.000197,20251017_153552
validate_data,FAIL_WITH_WARNINGS,2025-10-17 15:35:48,2025-10-17 15:35:50,2.00254,20251017_153552
update_metadata,SUCCESS,2025-10-17 15:35:50,2025-10-17 15:35:52,2.004107,20251017_153552
